Mode,M,N,k,MPI_Ranks,OMP_Threads,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
Serial,2000,2000,3,1,1,1,0.008817,0.011851,0.00e+00,2.7219,1.3441
Serial,2000,2000,3,1,1,2,0.008659,0.000000,0.00e+00,2.7717,0.0000
Serial,2000,2000,3,1,1,3,0.008881,0.000000,0.00e+00,2.7023,0.0000
Serial,2000,2000,3,1,1,4,0.009090,0.000000,0.00e+00,2.6403,0.0000
Serial,2000,2000,3,1,1,5,0.008861,0.000000,0.00e+00,2.7086,0.0000
Naive_SMP,2000,2000,3,1,40,1,0.011173,0.012179,0.00e+00,2.1481,1.0900
Naive_SMP,2000,2000,3,1,40,2,0.011404,0.000000,0.00e+00,2.1045,0.0000
Naive_SMP,2000,2000,3,1,40,3,0.011252,0.000000,0.00e+00,2.1330,0.0000
Naive_SMP,2000,2000,3,1,40,4,0.011163,0.000000,0.00e+00,2.1499,0.0000
Naive_SMP,2000,2000,3,1,40,5,0.010808,0.000000,0.00e+00,2.2207,0.0000
Naive_Hybrid,2000,2000,3,2,20,1,0.000726,0.011870,0.00e+00,33.0556,16.3493
Naive_Hybrid,2000,2000,3,2,20,2,0.000726,0.000000,0.00e+00,33.0737,0.0000
Naive_Hybrid,2000,2000,3,2,20,3,0.000740,0.000000,0.00e+00,32.4168,0.0000
Naive_Hybrid,2000,2000,3,2,20,4,0.000647,0.000000,0.00e+00,37.1104,0.0000
Naive_Hybrid,2000,2000,3,2,20,5,0.000660,0.000000,0.00e+00,36.3890,0.0000
Opt_SMP,2000,2000,3,1,40,1,0.008834,0.012120,0.00e+00,2.7169,1.3721
Opt_SMP,2000,2000,3,1,40,2,0.008918,0.000000,0.00e+00,2.6913,0.0000
Opt_SMP,2000,2000,3,1,40,3,0.008997,0.000000,0.00e+00,2.6675,0.0000
Opt_SMP,2000,2000,3,1,40,4,0.008756,0.000000,0.00e+00,2.7410,0.0000
Opt_SMP,2000,2000,3,1,40,5,0.008817,0.000000,0.00e+00,2.7221,0.0000
Opt_Hybrid,2000,2000,3,2,20,1,0.000499,0.012373,0.00e+00,48.0650,24.7802
Opt_Hybrid,2000,2000,3,2,20,2,0.000508,0.000000,0.00e+00,47.2529,0.0000
Opt_Hybrid,2000,2000,3,2,20,3,0.000516,0.000000,0.00e+00,46.5124,0.0000
Opt_Hybrid,2000,2000,3,2,20,4,0.000500,0.000000,0.00e+00,48.0023,0.0000
Opt_Hybrid,2000,2000,3,2,20,5,0.000505,0.000000,0.00e+00,47.5617,0.0000
