Mode,Backend,M,N,k,MPI_Ranks,GridRows,GridCols,OMP_Threads,CUDA_Arch,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
CUDA_Naive,CUDA,2000,2000,3,1,1,1,,75,1,0.000333,0.013667,0.00e+00,71.9926,40.9968
CUDA_Naive,CUDA,2000,2000,3,1,1,1,,75,2,0.000334,0.000000,0.00e+00,71.8519,0.0000
CUDA_Naive,CUDA,2000,2000,3,1,1,1,,75,3,0.000334,0.000000,0.00e+00,71.8145,0.0000
CUDA_Opt2D,CUDA,2000,2000,3,1,1,1,,75,1,0.000334,0.013453,0.00e+00,71.8427,40.2693
CUDA_Opt2D,CUDA,2000,2000,3,1,1,1,,75,2,0.000331,0.000000,0.00e+00,72.5003,0.0000
CUDA_Opt2D,CUDA,2000,2000,3,1,1,1,,75,3,0.000331,0.000000,0.00e+00,72.5046,0.0000
CUDA_Tiled,CUDA,2000,2000,3,1,1,1,,75,1,0.000308,0.013148,0.00e+00,77.9437,42.6997
CUDA_Tiled,CUDA,2000,2000,3,1,1,1,,75,2,0.000305,0.000000,0.00e+00,78.5703,0.0000
CUDA_Tiled,CUDA,2000,2000,3,1,1,1,,75,3,0.000306,0.000000,0.00e+00,78.4263,0.0000
CUDA_WarpRow,CUDA,2000,2000,3,1,1,1,,75,1,0.000327,0.015204,0.00e+00,73.4022,46.5005
CUDA_WarpRow,CUDA,2000,2000,3,1,1,1,,75,2,0.000325,0.000000,0.00e+00,73.8285,0.0000
CUDA_WarpRow,CUDA,2000,2000,3,1,1,1,,75,3,0.000324,0.000000,0.00e+00,74.1326,0.0000
CUDA_Transposed,CUDA,2000,2000,3,1,1,1,,75,1,0.000108,0.013478,0.00e+00,222.1110,124.7357
CUDA_Transposed,CUDA,2000,2000,3,1,1,1,,75,2,0.000108,0.000000,0.00e+00,221.9308,0.0000
CUDA_Transposed,CUDA,2000,2000,3,1,1,1,,75,3,0.000108,0.000000,0.00e+00,221.5670,0.0000
CUDA_Naive,CUDA,2000,2000,6,1,1,1,,75,1,0.000338,0.018471,0.00e+00,142.1051,54.6840
CUDA_Naive,CUDA,2000,2000,6,1,1,1,,75,2,0.000337,0.000000,0.00e+00,142.4192,0.0000
CUDA_Naive,CUDA,2000,2000,6,1,1,1,,75,3,0.000339,0.000000,0.00e+00,141.6321,0.0000
CUDA_Opt2D,CUDA,2000,2000,6,1,1,1,,75,1,0.000337,0.018516,0.00e+00,142.3223,54.9003
CUDA_Opt2D,CUDA,2000,2000,6,1,1,1,,75,2,0.000338,0.000000,0.00e+00,141.9040,0.0000
CUDA_Opt2D,CUDA,2000,2000,6,1,1,1,,75,3,0.000335,0.000000,0.00e+00,143.2177,0.0000
CUDA_Tiled,CUDA,2000,2000,6,1,1,1,,75,1,0.000306,0.017728,0.00e+00,157.0646,58.0108
CUDA_Tiled,CUDA,2000,2000,6,1,1,1,,75,2,0.000306,0.000000,0.00e+00,157.0311,0.0000
CUDA_Tiled,CUDA,2000,2000,6,1,1,1,,75,3,0.000306,0.000000,0.00e+00,157.0538,0.0000
CUDA_WarpRow,CUDA,2000,2000,6,1,1,1,,75,1,0.000326,0.020570,0.00e+00,147.0926,63.0351
CUDA_WarpRow,CUDA,2000,2000,6,1,1,1,,75,2,0.000327,0.000000,0.00e+00,146.6311,0.0000
CUDA_WarpRow,CUDA,2000,2000,6,1,1,1,,75,3,0.000327,0.000000,0.00e+00,146.7917,0.0000
CUDA_Transposed,CUDA,2000,2000,6,1,1,1,,75,1,0.000106,0.018638,0.00e+00,453.1273,175.9447
CUDA_Transposed,CUDA,2000,2000,6,1,1,1,,75,2,0.000104,0.000000,0.00e+00,459.6323,0.0000
CUDA_Transposed,CUDA,2000,2000,6,1,1,1,,75,3,0.000104,0.000000,0.00e+00,459.6402,0.0000
CUDA_Naive,CUDA,2000,2000,8,1,1,1,,75,1,0.000336,0.013087,0.00e+00,190.5538,38.9641
CUDA_Naive,CUDA,2000,2000,8,1,1,1,,75,2,0.000335,0.000000,0.00e+00,190.9438,0.0000
CUDA_Naive,CUDA,2000,2000,8,1,1,1,,75,3,0.000335,0.000000,0.00e+00,190.9087,0.0000
CUDA_Opt2D,CUDA,2000,2000,8,1,1,1,,75,1,0.000336,0.014279,0.00e+00,190.4059,42.4817
CUDA_Opt2D,CUDA,2000,2000,8,1,1,1,,75,2,0.000335,0.000000,0.00e+00,190.9171,0.0000
CUDA_Opt2D,CUDA,2000,2000,8,1,1,1,,75,3,0.000333,0.000000,0.00e+00,192.4702,0.0000
CUDA_Tiled,CUDA,2000,2000,8,1,1,1,,75,1,0.000306,0.012694,0.00e+00,209.0062,41.4563
CUDA_Tiled,CUDA,2000,2000,8,1,1,1,,75,2,0.000306,0.000000,0.00e+00,209.2948,0.0000
CUDA_Tiled,CUDA,2000,2000,8,1,1,1,,75,3,0.000306,0.000000,0.00e+00,209.3423,0.0000
CUDA_WarpRow,CUDA,2000,2000,8,1,1,1,,75,1,0.000325,0.015269,0.00e+00,196.9056,46.9762
CUDA_WarpRow,CUDA,2000,2000,8,1,1,1,,75,2,0.000326,0.000000,0.00e+00,196.4570,0.0000
CUDA_WarpRow,CUDA,2000,2000,8,1,1,1,,75,3,0.000324,0.000000,0.00e+00,197.2618,0.0000
CUDA_Transposed,CUDA,2000,2000,8,1,1,1,,75,1,0.000107,0.013361,0.00e+00,598.7346,124.9922
CUDA_Transposed,CUDA,2000,2000,8,1,1,1,,75,2,0.000108,0.000000,0.00e+00,590.0499,0.0000
CUDA_Transposed,CUDA,2000,2000,8,1,1,1,,75,3,0.000108,0.000000,0.00e+00,594.3790,0.0000
CUDA_Naive,CUDA,2000,2000,20,1,1,1,,75,1,0.000340,0.019548,2.79e-08,470.2398,57.4514
CUDA_Naive,CUDA,2000,2000,20,1,1,1,,75,2,0.000341,0.000000,0.00e+00,469.8340,0.0000
CUDA_Naive,CUDA,2000,2000,20,1,1,1,,75,3,0.000341,0.000000,0.00e+00,469.6445,0.0000
CUDA_Opt2D,CUDA,2000,2000,20,1,1,1,,75,1,0.000341,0.019652,2.79e-08,469.6853,57.6896
CUDA_Opt2D,CUDA,2000,2000,20,1,1,1,,75,2,0.000338,0.000000,0.00e+00,473.3571,0.0000
