Mode,Backend,M,N,k,MPI_Ranks,GridRows,GridCols,OMP_Threads,CUDA_Arch,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
Serial,OMP,2000,2000,3,1,0,0,1,,1,0.008945,0.013120,0.00e+00,2.6830,1.4667
Serial,OMP,2000,2000,3,1,0,0,1,,2,0.008964,0.000000,0.00e+00,2.6773,0.0000
Serial,OMP,2000,2000,3,1,0,0,1,,3,0.009316,0.000000,0.00e+00,2.5763,0.0000
Naive_SMP,OMP,2000,2000,3,1,0,0,40,,1,0.013589,0.013386,0.00e+00,1.7661,0.9850
Naive_SMP,OMP,2000,2000,3,1,0,0,40,,2,0.013414,0.000000,0.00e+00,1.7892,0.0000
Naive_SMP,OMP,2000,2000,3,1,0,0,40,,3,0.013532,0.000000,0.00e+00,1.7736,0.0000
Naive_Hybrid,OMP,2000,2000,3,2,0,0,20,,1,0.002050,0.013898,0.00e+00,11.7052,6.7785
Naive_Hybrid,OMP,2000,2000,3,2,0,0,20,,2,0.002030,0.000000,0.00e+00,11.8249,0.0000
Naive_Hybrid,OMP,2000,2000,3,2,0,0,20,,3,0.013829,0.000000,0.00e+00,1.7355,0.0000
Opt_SMP,OMP,2000,2000,3,1,0,0,40,,1,0.009106,0.013119,0.00e+00,2.6356,1.4407
Opt_SMP,OMP,2000,2000,3,1,0,0,40,,2,0.009142,0.000000,0.00e+00,2.6252,0.0000
Opt_SMP,OMP,2000,2000,3,1,0,0,40,,3,0.009106,0.000000,0.00e+00,2.6357,0.0000
Opt_Hybrid,OMP,2000,2000,3,2,0,0,20,,1,0.009323,0.013505,0.00e+00,2.5744,1.4486
Opt_Hybrid,OMP,2000,2000,3,2,0,0,20,,2,0.010773,0.000000,0.00e+00,2.2279,0.0000
Opt_Hybrid,OMP,2000,2000,3,2,0,0,20,,3,0.000654,0.000000,0.00e+00,36.7085,0.0000
Opt_Hybrid,OMP,2000,2000,3,4,0,0,10,,1,0.000602,0.013603,2.36e-06,39.8544,22.5893
Opt_Hybrid,OMP,2000,2000,3,4,0,0,10,,2,0.000596,0.000000,0.00e+00,40.2748,0.0000
Opt_Hybrid,OMP,2000,2000,3,4,0,0,10,,3,0.000579,0.000000,0.00e+00,41.4432,0.0000
Opt_Hybrid,OMP,2000,2000,3,8,0,0,5,,1,0.002424,0.014587,2.36e-06,9.8998,6.0170
Opt_Hybrid,OMP,2000,2000,3,8,0,0,5,,2,0.001612,0.000000,0.00e+00,14.8929,0.0000
Opt_Hybrid,OMP,2000,2000,3,8,0,0,5,,3,0.002598,0.000000,0.00e+00,9.2390,0.0000
Opt_Grid1x8,OMP,2000,2000,3,8,1,8,1,,1,0.006279,0.014276,2.72e-06,3.8221,2.2734
Opt_Grid1x8,OMP,2000,2000,3,8,1,8,1,,2,0.004977,0.000000,0.00e+00,4.8223,0.0000
Opt_Grid1x8,OMP,2000,2000,3,8,1,8,1,,3,0.006408,0.000000,0.00e+00,3.7452,0.0000
Opt_Grid8x1,OMP,2000,2000,3,8,8,1,1,,1,0.004801,0.014230,0.00e+00,4.9992,2.9641
Opt_Grid8x1,OMP,2000,2000,3,8,8,1,1,,2,0.004716,0.000000,0.00e+00,5.0889,0.0000
Opt_Grid8x1,OMP,2000,2000,3,8,8,1,1,,3,0.004881,0.000000,0.00e+00,4.9171,0.0000
Opt_Grid2x4,OMP,2000,2000,3,8,2,4,1,,1,0.005180,0.014078,3.11e-06,4.6335,2.7180
Opt_Grid2x4,OMP,2000,2000,3,8,2,4,1,,2,0.004978,0.000000,0.00e+00,4.8217,0.0000
Opt_Grid2x4,OMP,2000,2000,3,8,2,4,1,,3,0.004753,0.000000,0.00e+00,5.0496,0.0000
Serial,OMP,2000,2000,6,1,0,0,1,,1,0.009960,0.018105,0.00e+00,4.8193,1.8178
Serial,OMP,2000,2000,6,1,0,0,1,,2,0.009998,0.000000,0.00e+00,4.8012,0.0000
Serial,OMP,2000,2000,6,1,0,0,1,,3,0.009977,0.000000,0.00e+00,4.8109,0.0000
Naive_SMP,OMP,2000,2000,6,1,0,0,40,,1,0.018281,0.018157,0.00e+00,2.6257,0.9932
Naive_SMP,OMP,2000,2000,6,1,0,0,40,,2,0.018192,0.000000,0.00e+00,2.6385,0.0000
Naive_SMP,OMP,2000,2000,6,1,0,0,40,,3,0.018189,0.000000,0.00e+00,2.6390,0.0000
Naive_Hybrid,OMP,2000,2000,6,2,0,0,20,,1,0.013882,0.018550,0.00e+00,3.4578,1.3363
Naive_Hybrid,OMP,2000,2000,6,2,0,0,20,,2,0.013565,0.000000,0.00e+00,3.5386,0.0000
Naive_Hybrid,OMP,2000,2000,6,2,0,0,20,,3,0.016386,0.000000,0.00e+00,2.9294,0.0000
Opt_SMP,OMP,2000,2000,6,1,0,0,40,,1,0.010080,0.017802,0.00e+00,4.7619,1.7660
Opt_SMP,OMP,2000,2000,6,1,0,0,40,,2,0.009897,0.000000,0.00e+00,4.8502,0.0000
Opt_SMP,OMP,2000,2000,6,1,0,0,40,,3,0.009880,0.000000,0.00e+00,4.8584,0.0000
Opt_Hybrid,OMP,2000,2000,6,2,0,0,20,,1,0.000579,0.018165,0.00e+00,82.8817,31.3660
Opt_Hybrid,OMP,2000,2000,6,2,0,0,20,,2,0.006461,0.000000,0.00e+00,7.4293,0.0000
Opt_Hybrid,OMP,2000,2000,6,2,0,0,20,,3,0.000813,0.000000,0.00e+00,59.0468,0.0000
Opt_Hybrid,OMP,2000,2000,6,4,0,0,10,,1,0.000583,0.018293,2.37e-06,82.3692,31.3905
Opt_Hybrid,OMP,2000,2000,6,4,0,0,10,,2,0.000591,0.000000,0.00e+00,81.2164,0.0000
Opt_Hybrid,OMP,2000,2000,6,4,0,0,10,,3,0.000586,0.000000,0.00e+00,81.9155,0.0000
Opt_Hybrid,OMP,2000,2000,6,8,0,0,5,,1,0.002843,0.019031,2.37e-06,16.8857,6.6947
Opt_Hybrid,OMP,2000,2000,6,8,0,0,5,,2,0.001086,0.000000,0.00e+00,44.2092,0.0000
Opt_Hybrid,OMP,2000,2000,6,8,0,0,5,,3,0.001049,0.000000,0.00e+00,45.7672,0.0000
Opt_Grid1x8,OMP,2000,2000,6,8,1,8,1,,1,0.005017,0.018714,1.55e-06,9.5683,3.7304
Opt_Grid1x8,OMP,2000,2000,6,8,1,8,1,,2,0.004819,0.000000,0.00e+00,9.9612,0.0000
Opt_Grid1x8,OMP,2000,2000,6,8,1,8,1,,3,0.005390,0.000000,0.00e+00,8.9050,0.0000
Opt_Grid8x1,OMP,2000,2000,6,8,8,1,1,,1,0.005111,0.018870,0.00e+00,9.3924,3.6923
Opt_Grid8x1,OMP,2000,2000,6,8,8,1,1,,2,0.005121,0.000000,0.00e+00,9.3724,0.0000
Opt_Grid8x1,OMP,2000,2000,6,8,8,1,1,,3,0.005013,0.000000,0.00e+00,9.5752,0.0000
Opt_Grid2x4,OMP,2000,2000,6,8,2,4,1,,1,0.006317,0.018746,1.59e-06,7.5986,2.9676
Opt_Grid2x4,OMP,2000,2000,6,8,2,4,1,,2,0.005044,0.000000,0.00e+00,9.5168,0.0000
Opt_Grid2x4,OMP,2000,2000,6,8,2,4,1,,3,0.003848,0.000000,0.00e+00,12.4747,0.0000
Serial,OMP,2000,2000,8,1,0,0,1,,1,0.008839,0.013479,0.00e+00,7.2407,1.5250
Serial,OMP,2000,2000,8,1,0,0,1,,2,0.008857,0.000000,0.00e+00,7.2261,0.0000
Serial,OMP,2000,2000,8,1,0,0,1,,3,0.008857,0.000000,0.00e+00,7.2260,0.0000
Naive_SMP,OMP,2000,2000,8,1,0,0,40,,1,0.011586,0.013359,0.00e+00,5.5237,1.1530
Naive_SMP,OMP,2000,2000,8,1,0,0,40,,2,0.011641,0.000000,0.00e+00,5.4980,0.0000
Naive_SMP,OMP,2000,2000,8,1,0,0,40,,3,0.011556,0.000000,0.00e+00,5.5383,0.0000
Naive_Hybrid,OMP,2000,2000,8,2,0,0,20,,1,0.001786,0.013402,0.00e+00,35.8402,7.5051
Naive_Hybrid,OMP,2000,2000,8,2,0,0,20,,2,0.000710,0.000000,0.00e+00,90.1105,0.0000
Naive_Hybrid,OMP,2000,2000,8,2,0,0,20,,3,0.000912,0.000000,0.00e+00,70.2133,0.0000
Opt_SMP,OMP,2000,2000,8,1,0,0,40,,1,0.007624,0.013175,0.00e+00,8.3944,1.7280
Opt_SMP,OMP,2000,2000,8,1,0,0,40,,2,0.007631,0.000000,0.00e+00,8.3869,0.0000
Opt_SMP,OMP,2000,2000,8,1,0,0,40,,3,0.007811,0.000000,0.00e+00,8.1931,0.0000
Opt_Hybrid,OMP,2000,2000,8,2,0,0,20,,1,0.010909,0.013619,0.00e+00,5.8668,1.2485
Opt_Hybrid,OMP,2000,2000,8,2,0,0,20,,2,0.002185,0.000000,0.00e+00,29.2889,0.0000
Opt_Hybrid,OMP,2000,2000,8,2,0,0,20,,3,0.002185,0.000000,0.00e+00,29.2907,0.0000
Opt_Hybrid,OMP,2000,2000,8,4,0,0,10,,1,0.000501,0.013798,1.15e-06,127.8492,27.5629
Opt_Hybrid,OMP,2000,2000,8,4,0,0,10,,2,0.000488,0.000000,0.00e+00,131.1014,0.0000
Opt_Hybrid,OMP,2000,2000,8,4,0,0,10,,3,0.000487,0.000000,0.00e+00,131.4045,0.0000
Opt_Hybrid,OMP,2000,2000,8,8,0,0,5,,1,0.001991,0.014080,1.15e-06,32.1489,7.0727
Opt_Hybrid,OMP,2000,2000,8,8,0,0,5,,2,0.001285,0.000000,0.00e+00,49.7914,0.0000
Opt_Hybrid,OMP,2000,2000,8,8,0,0,5,,3,0.001705,0.000000,0.00e+00,37.5436,0.0000
Opt_Grid1x8,OMP,2000,2000,8,8,1,8,1,,1,0.003651,0.014323,1.08e-06,17.5294,3.9231
Opt_Grid1x8,OMP,2000,2000,8,8,1,8,1,,2,0.003212,0.000000,0.00e+00,19.9282,0.0000
Opt_Grid1x8,OMP,2000,2000,8,8,1,8,1,,3,0.004333,0.000000,0.00e+00,14.7706,0.0000
Opt_Grid8x1,OMP,2000,2000,8,8,8,1,1,,1,0.004447,0.014328,0.00e+00,14.3917,3.2218
Opt_Grid8x1,OMP,2000,2000,8,8,8,1,1,,2,0.003979,0.000000,0.00e+00,16.0834,0.0000
Opt_Grid8x1,OMP,2000,2000,8,8,8,1,1,,3,0.003200,0.000000,0.00e+00,20.0013,0.0000
Opt_Grid2x4,OMP,2000,2000,8,8,2,4,1,,1,0.004464,0.014117,1.18e-06,14.3357,3.1622
Opt_Grid2x4,OMP,2000,2000,8,8,2,4,1,,2,0.003165,0.000000,0.00e+00,20.2199,0.0000
Opt_Grid2x4,OMP,2000,2000,8,8,2,4,1,,3,0.003709,0.000000,0.00e+00,17.2555,0.0000
Serial,OMP,2000,2000,20,1,0,0,1,,1,0.014363,0.019060,0.00e+00,11.1395,1.3270
Serial,OMP,2000,2000,20,1,0,0,1,,2,0.014316,0.000000,0.00e+00,11.1760,0.0000
Serial,OMP,2000,2000,20,1,0,0,1,,3,0.014546,0.000000,0.00e+00,10.9996,0.0000
