Mode,Backend,M,N,k,MPI_Ranks,Run,ParallelTime,DistribTime,TransferTime
CUDA_Naive,CUDA,2000,2000,3,1,1,0.000334,0.000018,0.243485
CUDA_Naive,CUDA,2000,2000,3,1,2,0.000331,0.000019,0.173002
CUDA_Naive,CUDA,2000,2000,3,1,3,0.000331,0.000017,0.172138
CUDA_Tiled,CUDA,2000,2000,3,1,1,0.000306,0.000018,0.167329
CUDA_Tiled,CUDA,2000,2000,3,1,2,0.000308,0.000017,0.169377
CUDA_Tiled,CUDA,2000,2000,3,1,3,0.000308,0.000017,0.166965
CUDA_Naive,CUDA,2000,2000,6,1,1,0.000339,0.000028,0.168698
CUDA_Naive,CUDA,2000,2000,6,1,2,0.000337,0.000028,0.170097
CUDA_Naive,CUDA,2000,2000,6,1,3,0.000337,0.000028,0.171632
CUDA_Tiled,CUDA,2000,2000,6,1,1,0.000308,0.000028,0.171473
CUDA_Tiled,CUDA,2000,2000,6,1,2,0.000308,0.000028,0.171273
CUDA_Tiled,CUDA,2000,2000,6,1,3,0.000309,0.000028,0.172376
CUDA_Naive,CUDA,2000,2000,8,1,1,0.000335,0.000035,0.174068
CUDA_Naive,CUDA,2000,2000,8,1,2,0.000333,0.000035,0.169905
CUDA_Naive,CUDA,2000,2000,8,1,3,0.000335,0.000035,0.170288
CUDA_Tiled,CUDA,2000,2000,8,1,1,0.000306,0.000035,0.179572
CUDA_Tiled,CUDA,2000,2000,8,1,2,0.000306,0.000035,0.172701
CUDA_Tiled,CUDA,2000,2000,8,1,3,0.000306,0.000035,0.177518
CUDA_Naive,CUDA,2000,2000,20,1,1,0.000338,0.000144,0.170984
CUDA_Naive,CUDA,2000,2000,20,1,2,0.000339,0.000145,0.168223
CUDA_Naive,CUDA,2000,2000,20,1,3,0.000338,0.000246,0.172713
CUDA_Tiled,CUDA,2000,2000,20,1,1,0.000306,0.000146,0.171720
CUDA_Tiled,CUDA,2000,2000,20,1,2,0.000309,0.000143,0.171275
CUDA_Tiled,CUDA,2000,2000,20,1,3,0.000307,0.000144,0.170908
CUDA_Naive,CUDA,2000,2000,32,1,1,0.000338,0.000229,0.170846
CUDA_Naive,CUDA,2000,2000,32,1,2,0.000338,0.000242,0.172801
CUDA_Naive,CUDA,2000,2000,32,1,3,0.000338,0.000225,0.172399
CUDA_Tiled,CUDA,2000,2000,32,1,1,0.000310,0.000229,0.177012
CUDA_Tiled,CUDA,2000,2000,32,1,2,0.000306,0.000228,0.170839
CUDA_Tiled,CUDA,2000,2000,32,1,3,0.000308,0.000224,0.172406
CUDA_Naive,CUDA,2000,2000,64,1,1,0.000576,0.000448,0.171802
CUDA_Naive,CUDA,2000,2000,64,1,2,0.000577,0.000548,0.168725
CUDA_Naive,CUDA,2000,2000,64,1,3,0.000578,0.000462,0.182738
CUDA_Tiled,CUDA,2000,2000,64,1,1,0.000458,0.000442,0.170375
CUDA_Tiled,CUDA,2000,2000,64,1,2,0.000460,0.000445,0.175599
CUDA_Tiled,CUDA,2000,2000,64,1,3,0.000460,0.000447,0.178316
CUDA_Naive,CUDA,2000,2000,128,1,1,0.001062,0.000909,0.170925
CUDA_Naive,CUDA,2000,2000,128,1,2,0.001071,0.000900,0.175236
CUDA_Naive,CUDA,2000,2000,128,1,3,0.001086,0.000903,0.170374
CUDA_Tiled,CUDA,2000,2000,128,1,1,0.000903,0.000905,0.175664
CUDA_Tiled,CUDA,2000,2000,128,1,2,0.000892,0.000866,0.173911
CUDA_Tiled,CUDA,2000,2000,128,1,3,0.000895,0.000928,0.176438
CUDA_Naive,CUDA,2000,4000,3,1,1,0.000675,0.000034,0.179753
CUDA_Naive,CUDA,2000,4000,3,1,2,0.000675,0.000034,0.175844
CUDA_Naive,CUDA,2000,4000,3,1,3,0.000669,0.000032,0.172510
CUDA_Tiled,CUDA,2000,4000,3,1,1,0.000600,0.000032,0.183316
CUDA_Tiled,CUDA,2000,4000,3,1,2,0.000599,0.000032,0.171894
CUDA_Tiled,CUDA,2000,4000,3,1,3,0.000603,0.000032,0.175636
CUDA_Naive,CUDA,2000,4000,6,1,1,0.000677,0.000062,0.171014
